Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,2663.8,2540
2020-01-13T05:00:00.000Z,2716.2,2607
2020-01-20T05:00:00.000Z,2626.2,2470
2020-01-27T05:00:00.000Z,2563.8,2561
2020-02-03T05:00:00.000Z,2490.6,2491
2020-02-10T05:00:00.000Z,2487.8,2530
2020-02-17T05:00:00.000Z,2465.8,2483
2020-02-24T05:00:00.000Z,2476.8,2524
2020-03-03T05:00:00.000Z,2461.6,2454
2020-03-10T04:00:00.000Z,2486.2,2502
2020-03-17T04:00:00.000Z,2407.4,2540
2020-03-24T04:00:00.000Z,2429,2512
2020-03-31T04:00:00.000Z,2412.4,2497
2020-04-07T04:00:00.000Z,2467.6,2559
2020-04-14T04:00:00.000Z,2427.2,2614
2020-04-21T04:00:00.000Z,2334.2,2635
2020-04-28T04:00:00.000Z,2275,2814
2020-05-05T04:00:00.000Z,2287.2,2716
2020-05-12T04:00:00.000Z,2295,2604
2020-05-19T04:00:00.000Z,2198.8,2664
2020-05-26T04:00:00.000Z,2207.6,2631
2020-06-02T04:00:00.000Z,2177.4,2479
2020-06-09T04:00:00.000Z,2220,2547
2020-06-16T04:00:00.000Z,2198.6,2378
2020-06-23T04:00:00.000Z,2214.2,2312
2020-06-30T04:00:00.000Z,2195.6,2248
