Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,785.4,737
2020-01-13T05:00:00.000Z,781,764
2020-01-20T05:00:00.000Z,777.6,769
2020-01-27T05:00:00.000Z,737.4,745
2020-02-03T05:00:00.000Z,740,728
2020-02-10T05:00:00.000Z,738.8,727
2020-02-17T05:00:00.000Z,709.6,781
2020-02-24T05:00:00.000Z,714,732
2020-03-03T05:00:00.000Z,734.2,733
2020-03-10T04:00:00.000Z,746.4,788
2020-03-17T04:00:00.000Z,734.4,743
2020-03-24T04:00:00.000Z,719.6,774
2020-03-31T04:00:00.000Z,705.4,768
2020-04-07T04:00:00.000Z,707.4,777
2020-04-14T04:00:00.000Z,704.8,766
2020-04-21T04:00:00.000Z,714.4,763
2020-04-28T04:00:00.000Z,682.2,769
2020-05-05T04:00:00.000Z,690.4,710
2020-05-12T04:00:00.000Z,696.8,701
2020-05-19T04:00:00.000Z,682.8,714
2020-05-26T04:00:00.000Z,679.2,741
2020-06-02T04:00:00.000Z,672.4,745
2020-06-09T04:00:00.000Z,652,674
2020-06-16T04:00:00.000Z,675.8,709
2020-06-23T04:00:00.000Z,686.6,700
2020-06-30T04:00:00.000Z,666.4,632
