Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,655.6,552
2020-01-13T05:00:00.000Z,624.6,588
2020-01-20T05:00:00.000Z,638.4,650
2020-01-27T05:00:00.000Z,618,620
2020-02-03T05:00:00.000Z,628,582
2020-02-10T05:00:00.000Z,613.2,602
2020-02-17T05:00:00.000Z,594.2,614
2020-02-24T05:00:00.000Z,583,610
2020-03-03T05:00:00.000Z,587.8,617
2020-03-10T04:00:00.000Z,566.4,615
2020-03-17T04:00:00.000Z,571,592
2020-03-24T04:00:00.000Z,562.2,623
2020-03-31T04:00:00.000Z,538,638
2020-04-07T04:00:00.000Z,541.6,570
2020-04-14T04:00:00.000Z,536.6,591
2020-04-21T04:00:00.000Z,519.4,553
2020-04-28T04:00:00.000Z,533.2,531
2020-05-05T04:00:00.000Z,531.2,535
2020-05-12T04:00:00.000Z,533.6,549
2020-05-19T04:00:00.000Z,547,528
2020-05-26T04:00:00.000Z,552.4,530
2020-06-02T04:00:00.000Z,529.8,538
2020-06-09T04:00:00.000Z,533.2,557
2020-06-16T04:00:00.000Z,560.2,524
2020-06-23T04:00:00.000Z,538.6,539
2020-06-30T04:00:00.000Z,543.6,446
