Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1003.4,1087
2020-01-13T05:00:00.000Z,1032.4,1080
2020-01-20T05:00:00.000Z,1022.2,1048
2020-01-27T05:00:00.000Z,1008.6,1033
2020-02-03T05:00:00.000Z,1002.8,1032
2020-02-10T05:00:00.000Z,1006.4,1096
2020-02-17T05:00:00.000Z,1019.6,1003
2020-02-24T05:00:00.000Z,992.2,1034
2020-03-03T05:00:00.000Z,967.4,1042
2020-03-10T04:00:00.000Z,969.2,1132
2020-03-17T04:00:00.000Z,964.2,1103
2020-03-24T04:00:00.000Z,944.6,1067
2020-03-31T04:00:00.000Z,948,1037
2020-04-07T04:00:00.000Z,936.2,1049
2020-04-14T04:00:00.000Z,915.8,1135
2020-04-21T04:00:00.000Z,897.4,1048
2020-04-28T04:00:00.000Z,901.8,1023
2020-05-05T04:00:00.000Z,889.4,1031
2020-05-12T04:00:00.000Z,888,1060
2020-05-19T04:00:00.000Z,908,1107
2020-05-26T04:00:00.000Z,890.4,1042
2020-06-02T04:00:00.000Z,886.6,1042
2020-06-09T04:00:00.000Z,882,1032
2020-06-16T04:00:00.000Z,879.6,1071
2020-06-23T04:00:00.000Z,894.6,1041
2020-06-30T04:00:00.000Z,868,1072
