Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1589.8,1612
2020-01-13T05:00:00.000Z,1566.4,1685
2020-01-20T05:00:00.000Z,1545.2,1593
2020-01-27T05:00:00.000Z,1492.4,1529
2020-02-03T05:00:00.000Z,1500.6,1586
2020-02-10T05:00:00.000Z,1532.4,1610
2020-02-17T05:00:00.000Z,1491.2,1453
2020-02-24T05:00:00.000Z,1490.8,1509
2020-03-03T05:00:00.000Z,1465.4,1498
2020-03-10T04:00:00.000Z,1453.4,1606
2020-03-17T04:00:00.000Z,1439.2,1591
2020-03-24T04:00:00.000Z,1421.6,1519
2020-03-31T04:00:00.000Z,1422.2,1513
2020-04-07T04:00:00.000Z,1428.6,1581
2020-04-14T04:00:00.000Z,1406.2,1509
2020-04-21T04:00:00.000Z,1370.2,1534
2020-04-28T04:00:00.000Z,1388.6,1468
2020-05-05T04:00:00.000Z,1366.6,1481
2020-05-12T04:00:00.000Z,1362.8,1477
2020-05-19T04:00:00.000Z,1347.6,1536
2020-05-26T04:00:00.000Z,1342.2,1542
2020-06-02T04:00:00.000Z,1350.8,1444
2020-06-09T04:00:00.000Z,1380.2,1460
2020-06-16T04:00:00.000Z,1321,1464
2020-06-23T04:00:00.000Z,1335,1533
2020-06-30T04:00:00.000Z,1325,1503
