Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,4380.2,4323
2020-01-13T05:00:00.000Z,4390.6,4561
2020-01-20T05:00:00.000Z,4269,4248
2020-01-27T05:00:00.000Z,4158.2,4124
2020-02-03T05:00:00.000Z,4148,4170
2020-02-10T05:00:00.000Z,4156,4317
2020-02-17T05:00:00.000Z,4105.2,4334
2020-02-24T05:00:00.000Z,4045.6,4210
2020-03-03T05:00:00.000Z,4030.4,4138
2020-03-10T04:00:00.000Z,4071.6,4165
2020-03-17T04:00:00.000Z,3965,4159
2020-03-24T04:00:00.000Z,3924.4,4241
2020-03-31T04:00:00.000Z,3852.2,4248
2020-04-07T04:00:00.000Z,3793.6,4173
2020-04-14T04:00:00.000Z,3807,4252
2020-04-21T04:00:00.000Z,3748.2,4283
2020-04-28T04:00:00.000Z,3755.2,4440
2020-05-05T04:00:00.000Z,3755.6,4240
2020-05-12T04:00:00.000Z,3676.2,4253
2020-05-19T04:00:00.000Z,3692.8,4244
2020-05-26T04:00:00.000Z,3669.4,4213
2020-06-02T04:00:00.000Z,3664.8,4093
2020-06-09T04:00:00.000Z,3712.8,4146
2020-06-16T04:00:00.000Z,3650.6,4295
2020-06-23T04:00:00.000Z,3639.4,4349
2020-06-30T04:00:00.000Z,3620.4,4281
