Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,0,NaN
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,10,10
2020-03-31T04:00:00.000Z,0,44,44
2020-04-07T04:00:00.000Z,0,122,126
2020-04-14T04:00:00.000Z,0,191,204
2020-04-21T04:00:00.000Z,0,228,237
2020-04-28T04:00:00.000Z,0,226,240
2020-05-05T04:00:00.000Z,0,221,234
2020-05-12T04:00:00.000Z,0,212,226
2020-05-19T04:00:00.000Z,0,229,247
2020-05-26T04:00:00.000Z,0,156,168
2020-06-02T04:00:00.000Z,0,201,213
2020-06-09T04:00:00.000Z,0,164,173
2020-06-16T04:00:00.000Z,0,194,212
2020-06-23T04:00:00.000Z,0,266,286
2020-06-30T04:00:00.000Z,0,334,377
