Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,0,0
2020-03-17T04:00:00.000Z,0,NaN,NaN
2020-03-24T04:00:00.000Z,0,NaN,NaN
2020-03-31T04:00:00.000Z,0,28,28
2020-04-07T04:00:00.000Z,0,54,58
2020-04-14T04:00:00.000Z,0,97,102
2020-04-21T04:00:00.000Z,0,188,195
2020-04-28T04:00:00.000Z,0,213,220
2020-05-05T04:00:00.000Z,0,238,249
2020-05-12T04:00:00.000Z,0,214,232
2020-05-19T04:00:00.000Z,0,182,199
2020-05-26T04:00:00.000Z,0,159,165
2020-06-02T04:00:00.000Z,0,145,159
2020-06-09T04:00:00.000Z,0,87,102
2020-06-16T04:00:00.000Z,0,98,109
2020-06-23T04:00:00.000Z,0,76,86
2020-06-30T04:00:00.000Z,0,65,74
