Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1223,1184
2020-01-13T05:00:00.000Z,1238.2,1244
2020-01-20T05:00:00.000Z,1211.6,1221
2020-01-27T05:00:00.000Z,1170.8,1193
2020-02-03T05:00:00.000Z,1148.6,1198
2020-02-10T05:00:00.000Z,1142.4,1177
2020-02-17T05:00:00.000Z,1166.8,1178
2020-02-24T05:00:00.000Z,1139.4,1114
2020-03-03T05:00:00.000Z,1142,1132
2020-03-10T04:00:00.000Z,1139,1208
2020-03-17T04:00:00.000Z,1122,1165
2020-03-24T04:00:00.000Z,1160,1222
2020-03-31T04:00:00.000Z,1088.4,1291
2020-04-07T04:00:00.000Z,1102.6,1302
2020-04-14T04:00:00.000Z,1084.2,1299
2020-04-21T04:00:00.000Z,1079.8,1241
2020-04-28T04:00:00.000Z,1028,1223
2020-05-05T04:00:00.000Z,1089,1148
2020-05-12T04:00:00.000Z,1071.2,1201
2020-05-19T04:00:00.000Z,1062.6,1132
2020-05-26T04:00:00.000Z,1004.4,1101
2020-06-02T04:00:00.000Z,1047.6,1047
2020-06-09T04:00:00.000Z,1039.2,1049
2020-06-16T04:00:00.000Z,1016.6,1088
2020-06-23T04:00:00.000Z,1013.4,1121
2020-06-30T04:00:00.000Z,1028.4,1068
