Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,NaN,NaN
2020-03-10T04:00:00.000Z,0,19,21
2020-03-17T04:00:00.000Z,0,25,26
2020-03-24T04:00:00.000Z,0,57,62
2020-03-31T04:00:00.000Z,0,107,116
2020-04-07T04:00:00.000Z,0,152,155
2020-04-14T04:00:00.000Z,0,130,141
2020-04-21T04:00:00.000Z,0,106,115
2020-04-28T04:00:00.000Z,0,89,103
2020-05-05T04:00:00.000Z,0,71,77
2020-05-12T04:00:00.000Z,0,77,86
2020-05-19T04:00:00.000Z,0,60,68
2020-05-26T04:00:00.000Z,0,37,45
2020-06-02T04:00:00.000Z,0,30,35
2020-06-09T04:00:00.000Z,0,28,33
2020-06-16T04:00:00.000Z,0,35,41
2020-06-23T04:00:00.000Z,0,25,31
2020-06-30T04:00:00.000Z,0,27,38
