Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,502.8,470
2020-01-13T05:00:00.000Z,498.4,491
2020-01-20T05:00:00.000Z,497.8,518
2020-01-27T05:00:00.000Z,462,437
2020-02-03T05:00:00.000Z,468.4,479
2020-02-10T05:00:00.000Z,454,477
2020-02-17T05:00:00.000Z,464.8,471
2020-02-24T05:00:00.000Z,439.4,465
2020-03-03T05:00:00.000Z,444.2,455
2020-03-10T04:00:00.000Z,447.2,482
2020-03-17T04:00:00.000Z,448,469
2020-03-24T04:00:00.000Z,449,465
2020-03-31T04:00:00.000Z,460.8,487
2020-04-07T04:00:00.000Z,450.2,448
2020-04-14T04:00:00.000Z,458,489
2020-04-21T04:00:00.000Z,426.2,367
2020-04-28T04:00:00.000Z,420.2,410
2020-05-05T04:00:00.000Z,429.6,437
2020-05-12T04:00:00.000Z,417,424
2020-05-19T04:00:00.000Z,405.8,450
2020-05-26T04:00:00.000Z,405,398
2020-06-02T04:00:00.000Z,416.8,369
2020-06-09T04:00:00.000Z,415.2,305
2020-06-16T04:00:00.000Z,407.4,226
2020-06-23T04:00:00.000Z,407.8,97
2020-06-30T04:00:00.000Z,406.4,41
2020-07-07T04:00:00.000Z,419,undefined
