Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1131,1118
2020-01-13T05:00:00.000Z,1103.6,1060
2020-01-20T05:00:00.000Z,1108.2,1133
2020-01-27T05:00:00.000Z,1083.6,1086
2020-02-03T05:00:00.000Z,1072.2,1176
2020-02-10T05:00:00.000Z,1047.2,1053
2020-02-17T05:00:00.000Z,1023.8,1125
2020-02-24T05:00:00.000Z,908,1160
2020-03-03T05:00:00.000Z,900.4,1136
2020-03-10T04:00:00.000Z,979.4,1115
2020-03-17T04:00:00.000Z,1017.6,1105
2020-03-24T04:00:00.000Z,1033.8,1113
2020-03-31T04:00:00.000Z,997.4,1146
2020-04-07T04:00:00.000Z,1012.8,1220
2020-04-14T04:00:00.000Z,1044.8,1170
2020-04-21T04:00:00.000Z,1000.2,1150
2020-04-28T04:00:00.000Z,986.4,1025
2020-05-05T04:00:00.000Z,990,1162
2020-05-12T04:00:00.000Z,984.2,1076
2020-05-19T04:00:00.000Z,963,1017
2020-05-26T04:00:00.000Z,959.4,1073
2020-06-02T04:00:00.000Z,943.2,1136
2020-06-09T04:00:00.000Z,931.2,1035
2020-06-16T04:00:00.000Z,913.2,1017
2020-06-23T04:00:00.000Z,929.8,1075
2020-06-30T04:00:00.000Z,955.2,1018
