Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,61156.6,60626
2020-01-13T05:00:00.000Z,61470.4,61176
2020-01-20T05:00:00.000Z,59967.8,59782
2020-01-27T05:00:00.000Z,59070.6,59322
2020-02-03T05:00:00.000Z,58696,59024
2020-02-10T05:00:00.000Z,58776.2,59821
2020-02-17T05:00:00.000Z,58397.6,59082
2020-02-24T05:00:00.000Z,57636.4,59165
2020-03-03T05:00:00.000Z,57411.8,59445
2020-03-10T04:00:00.000Z,57587.8,59499
2020-03-17T04:00:00.000Z,56614.8,58394
2020-03-24T04:00:00.000Z,56247.6,59255
2020-03-31T04:00:00.000Z,55490.6,63263
2020-04-07T04:00:00.000Z,55417.4,72445
2020-04-14T04:00:00.000Z,55041.6,79195
2020-04-21T04:00:00.000Z,53898.8,76859
2020-04-28T04:00:00.000Z,53288.6,73804
2020-05-05T04:00:00.000Z,53305.6,69165
2020-05-12T04:00:00.000Z,52494.4,66609
2020-05-19T04:00:00.000Z,51948.2,64086
2020-05-26T04:00:00.000Z,51832.4,61178
2020-06-02T04:00:00.000Z,51402.6,58875
2020-06-09T04:00:00.000Z,51900.8,57608
2020-06-16T04:00:00.000Z,51454.4,55802
2020-06-23T04:00:00.000Z,51313.8,54825
2020-06-30T04:00:00.000Z,51198.2,53849
