Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,19,21
2020-03-17T04:00:00.000Z,0,25,26
2020-03-24T04:00:00.000Z,0,445,488
2020-03-31T04:00:00.000Z,0,2885,3077
2020-04-07T04:00:00.000Z,0,9363,9900
2020-04-14T04:00:00.000Z,0,15236,16070
2020-04-21T04:00:00.000Z,0,16006,16975
2020-04-28T04:00:00.000Z,0,14392,15317
2020-05-05T04:00:00.000Z,0,12201,13018
2020-05-12T04:00:00.000Z,0,10226,11032
2020-05-19T04:00:00.000Z,0,8242,9010
2020-05-26T04:00:00.000Z,0,6342,7005
2020-06-02T04:00:00.000Z,0,5415,6001
2020-06-09T04:00:00.000Z,0,4289,4835
2020-06-16T04:00:00.000Z,0,3523,4030
2020-06-23T04:00:00.000Z,0,3091,3576
2020-06-30T04:00:00.000Z,0,2908,3390
