Date,Average 2015-2019,Cancer
2020-01-06T05:00:00.000Z,11878,11646
2020-01-13T05:00:00.000Z,12135.8,12049
2020-01-20T05:00:00.000Z,11892.6,11777
2020-01-27T05:00:00.000Z,11825.4,11883
2020-02-03T05:00:00.000Z,11723.6,11993
2020-02-10T05:00:00.000Z,11880.2,11771
2020-02-17T05:00:00.000Z,11702.4,11857
2020-02-24T05:00:00.000Z,11678.6,11835
2020-03-03T05:00:00.000Z,11515.2,11803
2020-03-10T04:00:00.000Z,11781.6,11667
2020-03-17T04:00:00.000Z,11640,11518
2020-03-24T04:00:00.000Z,11689.8,11749
2020-03-31T04:00:00.000Z,11485,11806
2020-04-07T04:00:00.000Z,11513.8,11671
2020-04-14T04:00:00.000Z,11593.6,11597
2020-04-21T04:00:00.000Z,11395,11232
2020-04-28T04:00:00.000Z,11439.2,11380
2020-05-05T04:00:00.000Z,11493.4,11113
2020-05-12T04:00:00.000Z,11358.8,11028
2020-05-19T04:00:00.000Z,11362.4,11218
2020-05-26T04:00:00.000Z,11390,11122
2020-06-02T04:00:00.000Z,11256.4,10855
2020-06-09T04:00:00.000Z,11312.8,10936
2020-06-16T04:00:00.000Z,11364.2,10831
2020-06-23T04:00:00.000Z,11429.2,10751
2020-06-30T04:00:00.000Z,11417,10693
