Date,Average 2015-2019,Cereb Vasc
2020-01-06T05:00:00.000Z,3108.6,3093
2020-01-13T05:00:00.000Z,3085.2,3175
2020-01-20T05:00:00.000Z,3081.4,3224
2020-01-27T05:00:00.000Z,3038.4,3157
2020-02-03T05:00:00.000Z,2972.2,3035
2020-02-10T05:00:00.000Z,2963.4,3030
2020-02-17T05:00:00.000Z,2955.6,3023
2020-02-24T05:00:00.000Z,2927.6,3052
2020-03-03T05:00:00.000Z,2944.2,3115
2020-03-10T04:00:00.000Z,2914.6,3036
2020-03-17T04:00:00.000Z,2874.6,3082
2020-03-24T04:00:00.000Z,2872.2,3038
2020-03-31T04:00:00.000Z,2829.8,3043
2020-04-07T04:00:00.000Z,2805,3130
2020-04-14T04:00:00.000Z,2852.8,3161
2020-04-21T04:00:00.000Z,2720.8,3165
2020-04-28T04:00:00.000Z,2683.6,3027
2020-05-05T04:00:00.000Z,2726.2,2985
2020-05-12T04:00:00.000Z,2665,2805
2020-05-19T04:00:00.000Z,2649.2,2895
2020-05-26T04:00:00.000Z,2598,2757
2020-06-02T04:00:00.000Z,2612.6,2775
2020-06-09T04:00:00.000Z,2600,2683
2020-06-16T04:00:00.000Z,2574,2689
2020-06-23T04:00:00.000Z,2597.8,2709
2020-06-30T04:00:00.000Z,2552.6,2712
