Date,Average 2015-2019,Chron.resp
2020-01-06T05:00:00.000Z,3717.2,3483
2020-01-13T05:00:00.000Z,3765.2,3685
2020-01-20T05:00:00.000Z,3657,3498
2020-01-27T05:00:00.000Z,3586.6,3346
2020-02-03T05:00:00.000Z,3485.2,3266
2020-02-10T05:00:00.000Z,3586.6,3375
2020-02-17T05:00:00.000Z,3589.2,3446
2020-02-24T05:00:00.000Z,3526,3433
2020-03-03T05:00:00.000Z,3448,3397
2020-03-10T04:00:00.000Z,3500.4,3401
2020-03-17T04:00:00.000Z,3470,3323
2020-03-24T04:00:00.000Z,3400.6,3326
2020-03-31T04:00:00.000Z,3369.6,3489
2020-04-07T04:00:00.000Z,3335.4,3511
2020-04-14T04:00:00.000Z,3285.8,3405
2020-04-21T04:00:00.000Z,3153.6,3130
2020-04-28T04:00:00.000Z,3110.8,2941
2020-05-05T04:00:00.000Z,3041.8,2875
2020-05-12T04:00:00.000Z,3029.4,2763
2020-05-19T04:00:00.000Z,2948.2,2689
2020-05-26T04:00:00.000Z,2930.2,2597
2020-06-02T04:00:00.000Z,2849.8,2574
2020-06-09T04:00:00.000Z,2869,2437
2020-06-16T04:00:00.000Z,2781.8,2340
2020-06-23T04:00:00.000Z,2774.6,2392
2020-06-30T04:00:00.000Z,2728.6,2256
