Date,Average 2015-2019,Diabetes
2020-01-06T05:00:00.000Z,1885,1813
2020-01-13T05:00:00.000Z,1851.4,1938
2020-01-20T05:00:00.000Z,1807,1847
2020-01-27T05:00:00.000Z,1792,1862
2020-02-03T05:00:00.000Z,1736,1807
2020-02-10T05:00:00.000Z,1758.8,1971
2020-02-17T05:00:00.000Z,1770.2,1816
2020-02-24T05:00:00.000Z,1715.6,1860
2020-03-03T05:00:00.000Z,1736,1787
2020-03-10T04:00:00.000Z,1715.4,1836
2020-03-17T04:00:00.000Z,1658,1704
2020-03-24T04:00:00.000Z,1650.4,1795
2020-03-31T04:00:00.000Z,1637,2044
2020-04-07T04:00:00.000Z,1615.4,2281
2020-04-14T04:00:00.000Z,1622.2,2332
2020-04-21T04:00:00.000Z,1568.8,2238
2020-04-28T04:00:00.000Z,1549.4,2061
2020-05-05T04:00:00.000Z,1595.4,1907
2020-05-12T04:00:00.000Z,1531,1923
2020-05-19T04:00:00.000Z,1486.2,1885
2020-05-26T04:00:00.000Z,1494.4,1757
2020-06-02T04:00:00.000Z,1479.6,1747
2020-06-09T04:00:00.000Z,1500.6,1642
2020-06-16T04:00:00.000Z,1508,1606
2020-06-23T04:00:00.000Z,1448.8,1584
2020-06-30T04:00:00.000Z,1472,1552
