Date,Average 2015-2019,Heart disease
2020-01-06T05:00:00.000Z,14550.2,14257
2020-01-13T05:00:00.000Z,14457,13937
2020-01-20T05:00:00.000Z,14028.8,13605
2020-01-27T05:00:00.000Z,13800,13574
2020-02-03T05:00:00.000Z,13769.2,13427
2020-02-10T05:00:00.000Z,13792.6,14003
2020-02-17T05:00:00.000Z,13806.6,13615
2020-02-24T05:00:00.000Z,13484.8,13580
2020-03-03T05:00:00.000Z,13575.6,13643
2020-03-10T04:00:00.000Z,13473.6,13551
2020-03-17T04:00:00.000Z,13275.2,13286
2020-03-24T04:00:00.000Z,13119.4,13109
2020-03-31T04:00:00.000Z,12975.2,13697
2020-04-07T04:00:00.000Z,12899.2,14882
2020-04-14T04:00:00.000Z,12746.8,15680
2020-04-21T04:00:00.000Z,12536.8,14505
2020-04-28T04:00:00.000Z,12422.2,13713
2020-05-05T04:00:00.000Z,12309,12842
2020-05-12T04:00:00.000Z,12156,12899
2020-05-19T04:00:00.000Z,12026.2,12418
2020-05-26T04:00:00.000Z,12007.8,12376
2020-06-02T04:00:00.000Z,11872.6,11927
2020-06-09T04:00:00.000Z,11869.2,11834
2020-06-16T04:00:00.000Z,11793,11491
2020-06-23T04:00:00.000Z,11740.8,11309
2020-06-30T04:00:00.000Z,11730.8,10948
