Date,Average 2015-2019,Influ&Pneum
2020-01-06T05:00:00.000Z,1800.2,1484
2020-01-13T05:00:00.000Z,1848.6,1471
2020-01-20T05:00:00.000Z,1789,1429
2020-01-27T05:00:00.000Z,1670,1444
2020-02-03T05:00:00.000Z,1632.4,1368
2020-02-10T05:00:00.000Z,1578.2,1431
2020-02-17T05:00:00.000Z,1588.2,1462
2020-02-24T05:00:00.000Z,1533,1381
2020-03-03T05:00:00.000Z,1464.6,1433
2020-03-10T04:00:00.000Z,1417.6,1524
2020-03-17T04:00:00.000Z,1352,1559
2020-03-24T04:00:00.000Z,1271.8,1710
2020-03-31T04:00:00.000Z,1204.6,1749
2020-04-07T04:00:00.000Z,1193.8,1841
2020-04-14T04:00:00.000Z,1099.6,1557
2020-04-21T04:00:00.000Z,1001.8,1196
2020-04-28T04:00:00.000Z,934,1085
2020-05-05T04:00:00.000Z,866.6,957
2020-05-12T04:00:00.000Z,795.6,774
2020-05-19T04:00:00.000Z,773,772
2020-05-26T04:00:00.000Z,734.4,673
2020-06-02T04:00:00.000Z,715,649
2020-06-09T04:00:00.000Z,740.6,583
2020-06-16T04:00:00.000Z,683.4,574
2020-06-23T04:00:00.000Z,689.2,588
2020-06-30T04:00:00.000Z,677.2,574
