Date,Average 2015-2019,Natural Cause
2020-01-06T05:00:00.000Z,56451.6,55518
2020-01-13T05:00:00.000Z,56861.6,56281
2020-01-20T05:00:00.000Z,55538.4,55024
2020-01-27T05:00:00.000Z,54600.4,54662
2020-02-03T05:00:00.000Z,54157,54304
2020-02-10T05:00:00.000Z,54188.6,54908
2020-02-17T05:00:00.000Z,53925.6,54389
2020-02-24T05:00:00.000Z,53215.4,54429
2020-03-03T05:00:00.000Z,52813.6,54625
2020-03-10T04:00:00.000Z,52935.8,54426
2020-03-17T04:00:00.000Z,52116.2,53485
2020-03-24T04:00:00.000Z,51741.2,54610
2020-03-31T04:00:00.000Z,50993,58756
2020-04-07T04:00:00.000Z,50745.6,67895
2020-04-14T04:00:00.000Z,50485.4,74474
2020-04-21T04:00:00.000Z,49448.8,72347
2020-04-28T04:00:00.000Z,48792.6,69184
2020-05-05T04:00:00.000Z,48628.4,64551
2020-05-12T04:00:00.000Z,47848.4,61874
2020-05-19T04:00:00.000Z,47425.8,59601
2020-05-26T04:00:00.000Z,47235,56767
2020-06-02T04:00:00.000Z,46647.4,54624
2020-06-09T04:00:00.000Z,46997.2,53398
2020-06-16T04:00:00.000Z,46708.2,51907
2020-06-23T04:00:00.000Z,46571,51197
2020-06-30T04:00:00.000Z,46406.8,50525
