Date,Average 2015-2019,Septicemia
2020-01-06T05:00:00.000Z,875.2,747
2020-01-13T05:00:00.000Z,869.8,788
2020-01-20T05:00:00.000Z,838.2,749
2020-01-27T05:00:00.000Z,801.8,748
2020-02-03T05:00:00.000Z,834.4,714
2020-02-10T05:00:00.000Z,796,692
2020-02-17T05:00:00.000Z,765.2,712
2020-02-24T05:00:00.000Z,778.4,724
2020-03-03T05:00:00.000Z,778,733
2020-03-10T04:00:00.000Z,765,686
2020-03-17T04:00:00.000Z,758.2,679
2020-03-24T04:00:00.000Z,739.2,739
2020-03-31T04:00:00.000Z,746,776
2020-04-07T04:00:00.000Z,696.8,875
2020-04-14T04:00:00.000Z,729.6,783
2020-04-21T04:00:00.000Z,694.8,667
2020-04-28T04:00:00.000Z,665.4,662
2020-05-05T04:00:00.000Z,641,643
2020-05-12T04:00:00.000Z,640.6,640
2020-05-19T04:00:00.000Z,630.2,587
2020-05-26T04:00:00.000Z,631.2,626
2020-06-02T04:00:00.000Z,621.2,538
2020-06-09T04:00:00.000Z,615.6,641
2020-06-16T04:00:00.000Z,606.8,565
2020-06-23T04:00:00.000Z,611.2,553
2020-06-30T04:00:00.000Z,604.2,571
