Date,Average 2015-2019,Unclassified
2020-01-06T05:00:00.000Z,569,676
2020-01-13T05:00:00.000Z,553.4,774
2020-01-20T05:00:00.000Z,542,765
2020-01-27T05:00:00.000Z,543.4,768
2020-02-03T05:00:00.000Z,528.4,748
2020-02-10T05:00:00.000Z,549.2,780
2020-02-17T05:00:00.000Z,535.8,785
2020-02-24T05:00:00.000Z,516.4,788
2020-03-03T05:00:00.000Z,508.8,925
2020-03-10T04:00:00.000Z,536.6,929
2020-03-17T04:00:00.000Z,524.4,881
2020-03-24T04:00:00.000Z,478.2,915
2020-03-31T04:00:00.000Z,502.8,955
2020-04-07T04:00:00.000Z,510.2,1093
2020-04-14T04:00:00.000Z,485.4,1124
2020-04-21T04:00:00.000Z,475.8,1139
2020-04-28T04:00:00.000Z,503.4,1348
2020-05-05T04:00:00.000Z,445.4,1382
2020-05-12T04:00:00.000Z,462.2,1737
2020-05-19T04:00:00.000Z,485.8,1805
2020-05-26T04:00:00.000Z,459.6,2046
2020-06-02T04:00:00.000Z,461,2260
2020-06-09T04:00:00.000Z,487.6,2530
2020-06-16T04:00:00.000Z,462.2,2625
2020-06-23T04:00:00.000Z,469,2806
2020-06-30T04:00:00.000Z,485.4,3060
