Date,Average 2015-2019,Alzheimer
2020-01-06T05:00:00.000Z,2409.8,2334
2020-01-13T05:00:00.000Z,2480.8,2354
2020-01-20T05:00:00.000Z,2478.2,2282
2020-01-27T05:00:00.000Z,2359.6,2316
2020-02-03T05:00:00.000Z,2344.2,2224
2020-02-10T05:00:00.000Z,2285.8,2284
2020-02-17T05:00:00.000Z,2330.8,2312
2020-02-24T05:00:00.000Z,2255.4,2311
2020-03-03T05:00:00.000Z,2138,2309
2020-03-10T04:00:00.000Z,2189.8,2311
2020-03-17T04:00:00.000Z,2193.6,2251
2020-03-24T04:00:00.000Z,2124.6,2312
2020-03-31T04:00:00.000Z,2114.6,2554
2020-04-07T04:00:00.000Z,2096.2,2642
2020-04-14T04:00:00.000Z,2027.8,2749
2020-04-21T04:00:00.000Z,2049.8,2657
2020-04-28T04:00:00.000Z,2003.8,2540
2020-05-05T04:00:00.000Z,1954.6,2496
2020-05-12T04:00:00.000Z,1913.6,2270
2020-05-19T04:00:00.000Z,1928.8,2234
2020-05-26T04:00:00.000Z,1909.4,2225
2020-06-02T04:00:00.000Z,1861,2059
2020-06-09T04:00:00.000Z,1906.4,2096
2020-06-16T04:00:00.000Z,1898.8,2112
2020-06-23T04:00:00.000Z,1881.6,2149
2020-06-30T04:00:00.000Z,1863.4,2068
