Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,19,21
2020-03-17T04:00:00.000Z,0,25,26
2020-03-24T04:00:00.000Z,0,445,478
2020-03-31T04:00:00.000Z,0,2790,2968
2020-04-07T04:00:00.000Z,0,8948,9462
2020-04-14T04:00:00.000Z,0,14114,14904
2020-04-21T04:00:00.000Z,0,14412,15289
2020-04-28T04:00:00.000Z,0,12659,13474
2020-05-05T04:00:00.000Z,0,10687,11421
2020-05-12T04:00:00.000Z,0,8891,9619
2020-05-19T04:00:00.000Z,0,7141,7829
2020-05-26T04:00:00.000Z,0,5549,6127
2020-06-02T04:00:00.000Z,0,4773,5286
2020-06-09T04:00:00.000Z,0,3863,4347
2020-06-16T04:00:00.000Z,0,3231,3673
2020-06-23T04:00:00.000Z,0,2880,3319
2020-06-30T04:00:00.000Z,0,2750,3206
