Date,Average 2015-2019,Cereb Vasc
2020-01-06T05:00:00.000Z,2812,2813
2020-01-13T05:00:00.000Z,2792.2,2889
2020-01-20T05:00:00.000Z,2797.2,2928
2020-01-27T05:00:00.000Z,2752.8,2859
2020-02-03T05:00:00.000Z,2694.8,2748
2020-02-10T05:00:00.000Z,2673.6,2776
2020-02-17T05:00:00.000Z,2669.8,2735
2020-02-24T05:00:00.000Z,2644.8,2780
2020-03-03T05:00:00.000Z,2656.4,2844
2020-03-10T04:00:00.000Z,2634.6,2799
2020-03-17T04:00:00.000Z,2606.8,2824
2020-03-24T04:00:00.000Z,2604.2,2784
2020-03-31T04:00:00.000Z,2568.4,2769
2020-04-07T04:00:00.000Z,2548.6,2866
2020-04-14T04:00:00.000Z,2581.4,2861
2020-04-21T04:00:00.000Z,2463.8,2895
2020-04-28T04:00:00.000Z,2446,2747
2020-05-05T04:00:00.000Z,2471.2,2733
2020-05-12T04:00:00.000Z,2420.4,2544
2020-05-19T04:00:00.000Z,2407.2,2661
2020-05-26T04:00:00.000Z,2351.4,2517
2020-06-02T04:00:00.000Z,2374.4,2561
2020-06-09T04:00:00.000Z,2362,2464
2020-06-16T04:00:00.000Z,2340.2,2512
2020-06-23T04:00:00.000Z,2349,2557
2020-06-30T04:00:00.000Z,2316.8,2583
