Date,Average 2015-2019,Chron.resp
2020-01-06T05:00:00.000Z,3395.8,3194
2020-01-13T05:00:00.000Z,3444.6,3378
2020-01-20T05:00:00.000Z,3346.6,3195
2020-01-27T05:00:00.000Z,3260.6,3067
2020-02-03T05:00:00.000Z,3172.6,2983
2020-02-10T05:00:00.000Z,3269.8,3089
2020-02-17T05:00:00.000Z,3281.6,3149
2020-02-24T05:00:00.000Z,3231.4,3148
2020-03-03T05:00:00.000Z,3137.8,3138
2020-03-10T04:00:00.000Z,3202,3111
2020-03-17T04:00:00.000Z,3176.4,3069
2020-03-24T04:00:00.000Z,3090.4,3070
2020-03-31T04:00:00.000Z,3066.4,3216
2020-04-07T04:00:00.000Z,3055.2,3250
2020-04-14T04:00:00.000Z,2998.8,3142
2020-04-21T04:00:00.000Z,2879.6,2875
2020-04-28T04:00:00.000Z,2845.4,2681
2020-05-05T04:00:00.000Z,2785.8,2637
2020-05-12T04:00:00.000Z,2769.6,2544
2020-05-19T04:00:00.000Z,2706.2,2498
2020-05-26T04:00:00.000Z,2678.6,2379
2020-06-02T04:00:00.000Z,2600.6,2384
2020-06-09T04:00:00.000Z,2624.8,2235
2020-06-16T04:00:00.000Z,2533.4,2190
2020-06-23T04:00:00.000Z,2529,2250
2020-06-30T04:00:00.000Z,2489.8,2161
