Date,Average 2015-2019,Heart disease
2020-01-06T05:00:00.000Z,13248,12999
2020-01-13T05:00:00.000Z,13132.2,12698
2020-01-20T05:00:00.000Z,12734.2,12423
2020-01-27T05:00:00.000Z,12485.8,12365
2020-02-03T05:00:00.000Z,12503.6,12256
2020-02-10T05:00:00.000Z,12494.8,12747
2020-02-17T05:00:00.000Z,12500.6,12417
2020-02-24T05:00:00.000Z,12241.6,12352
2020-03-03T05:00:00.000Z,12327.8,12492
2020-03-10T04:00:00.000Z,12234.8,12457
2020-03-17T04:00:00.000Z,12082.2,12251
2020-03-24T04:00:00.000Z,11913.6,12040
2020-03-31T04:00:00.000Z,11761.4,12566
2020-04-07T04:00:00.000Z,11687.8,13659
2020-04-14T04:00:00.000Z,11565.6,14433
2020-04-21T04:00:00.000Z,11387.2,13269
2020-04-28T04:00:00.000Z,11307.8,12525
2020-05-05T04:00:00.000Z,11178.6,11764
2020-05-12T04:00:00.000Z,11040.2,11730
2020-05-19T04:00:00.000Z,10920.4,11260
2020-05-26T04:00:00.000Z,10867.8,11315
2020-06-02T04:00:00.000Z,10769.6,10940
2020-06-09T04:00:00.000Z,10778.4,10945
2020-06-16T04:00:00.000Z,10705.4,10707
2020-06-23T04:00:00.000Z,10654,10560
2020-06-30T04:00:00.000Z,10643.4,10334
