Date,Average 2015-2019,Influ&Pneum
2020-01-06T05:00:00.000Z,1636,1359
2020-01-13T05:00:00.000Z,1660.6,1334
2020-01-20T05:00:00.000Z,1615.6,1297
2020-01-27T05:00:00.000Z,1496.8,1313
2020-02-03T05:00:00.000Z,1459,1232
2020-02-10T05:00:00.000Z,1409.8,1294
2020-02-17T05:00:00.000Z,1414.4,1303
2020-02-24T05:00:00.000Z,1358.6,1244
2020-03-03T05:00:00.000Z,1299.8,1273
2020-03-10T04:00:00.000Z,1268.6,1413
2020-03-17T04:00:00.000Z,1210.6,1434
2020-03-24T04:00:00.000Z,1137,1553
2020-03-31T04:00:00.000Z,1065.2,1586
2020-04-07T04:00:00.000Z,1067.2,1697
2020-04-14T04:00:00.000Z,984.6,1421
2020-04-21T04:00:00.000Z,891.8,1095
2020-04-28T04:00:00.000Z,826.8,981
2020-05-05T04:00:00.000Z,771,872
2020-05-12T04:00:00.000Z,719.2,714
2020-05-19T04:00:00.000Z,693.2,721
2020-05-26T04:00:00.000Z,661.4,601
2020-06-02T04:00:00.000Z,641.6,586
2020-06-09T04:00:00.000Z,661.2,542
2020-06-16T04:00:00.000Z,613.2,532
2020-06-23T04:00:00.000Z,619.8,559
2020-06-30T04:00:00.000Z,608,542
