Date,Average 2015-2019,Unclassified
2020-01-06T05:00:00.000Z,498.6,567
2020-01-13T05:00:00.000Z,486.4,657
2020-01-20T05:00:00.000Z,462.8,657
2020-01-27T05:00:00.000Z,471,664
2020-02-03T05:00:00.000Z,467.6,673
2020-02-10T05:00:00.000Z,473.6,689
2020-02-17T05:00:00.000Z,469.2,692
2020-02-24T05:00:00.000Z,449,678
2020-03-03T05:00:00.000Z,443.6,790
2020-03-10T04:00:00.000Z,469.2,814
2020-03-17T04:00:00.000Z,456.6,757
2020-03-24T04:00:00.000Z,415.8,804
2020-03-31T04:00:00.000Z,438.4,826
2020-04-07T04:00:00.000Z,449.8,942
2020-04-14T04:00:00.000Z,423,949
2020-04-21T04:00:00.000Z,412.6,960
2020-04-28T04:00:00.000Z,437.2,1171
2020-05-05T04:00:00.000Z,395.4,1202
2020-05-12T04:00:00.000Z,404,1526
2020-05-19T04:00:00.000Z,425,1609
2020-05-26T04:00:00.000Z,405.6,1849
2020-06-02T04:00:00.000Z,401.2,2074
2020-06-09T04:00:00.000Z,424.4,2307
2020-06-16T04:00:00.000Z,406.2,2437
2020-06-23T04:00:00.000Z,414.6,2608
2020-06-30T04:00:00.000Z,428,2876
