"Notes"	"State"	"State Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Medical Facility - Inpatient"	"1"	45327	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medical Facility - Outpatient or ER"	"2"	4242	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medical Facility - Dead on Arrival"	"3"	126	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Alabama"	"01"	"Decedent's home"	"4"	47202	Not Applicable	Not Applicable
	"Alabama"	"01"	"Hospice facility"	"5"	3513	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nursing home/long term care"	"6"	16670	Not Applicable	Not Applicable
	"Alabama"	"01"	"Other"	"7"	7489	Not Applicable	Not Applicable
	"Alabama"	"01"	"Place of death unknown"	"9"	35	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medical Facility - Inpatient"	"1"	3556	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medical Facility - Outpatient or ER"	"2"	640	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medical Facility - Dead on Arrival"	"3"	23	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Alaska"	"02"	"Decedent's home"	"4"	3789	Not Applicable	Not Applicable
	"Alaska"	"02"	"Hospice facility"	"5"	38	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nursing home/long term care"	"6"	1081	Not Applicable	Not Applicable
	"Alaska"	"02"	"Other"	"7"	1034	Not Applicable	Not Applicable
	"Alaska"	"02"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medical Facility - Inpatient"	"1"	30041	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medical Facility - Outpatient or ER"	"2"	7292	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medical Facility - Dead on Arrival"	"3"	78	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Arizona"	"04"	"Decedent's home"	"4"	45213	Not Applicable	Not Applicable
	"Arizona"	"04"	"Hospice facility"	"5"	17831	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nursing home/long term care"	"6"	12353	Not Applicable	Not Applicable
	"Arizona"	"04"	"Other"	"7"	22664	Not Applicable	Not Applicable
	"Arizona"	"04"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Medical Facility - Inpatient"	"1"	22478	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Medical Facility - Outpatient or ER"	"2"	6017	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Medical Facility - Dead on Arrival"	"3"	196	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Arkansas"	"05"	"Decedent's home"	"4"	21721	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Hospice facility"	"5"	9256	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nursing home/long term care"	"6"	11909	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Other"	"7"	3676	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Medical Facility - Inpatient"	"1"	197095	Not Applicable	Not Applicable
	"California"	"06"	"Medical Facility - Outpatient or ER"	"2"	39445	Not Applicable	Not Applicable
	"California"	"06"	"Medical Facility - Dead on Arrival"	"3"	344	Not Applicable	Not Applicable
	"California"	"06"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"California"	"06"	"Decedent's home"	"4"	221994	Not Applicable	Not Applicable
