"Notes"	"Gender"	"Gender Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	136	Not Applicable	Not Applicable
	"Female"	"F"	"< 1 year"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	49	Not Applicable	Not Applicable
	"Female"	"F"	"< 1 year"	"1"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1	Not Applicable	Not Applicable
	"Female"	"F"	"< 1 year"	"1"	"#Alzheimer disease (G30)"	"GR113-052"	0	Not Applicable	Not Applicable
	"Female"	"F"	"< 1 year"	"1"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	248	Not Applicable	Not Applicable
	"Female"	"F"	"< 1 year"	"1"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	62	Not Applicable	Not Applicable
	"Female"	"F"	"< 1 year"	"1"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	112	Not Applicable	Not Applicable
	"Female"	"F"	"< 1 year"	"1"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13	Not Applicable	Not Applicable
	"Female"	"F"	"< 1 year"	"1"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	160	Not Applicable	Not Applicable
	"Female"	"F"	"< 1 year"	"1"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	55	Not Applicable	Not Applicable
	"Female"	"F"	"< 1 year"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	1844	Not Applicable	Not Applicable
	"Female"	"F"	"1-4 years"	"1-4"	"#Septicemia (A40-A41)"	"GR113-010"	40	Not Applicable	Not Applicable
	"Female"	"F"	"1-4 years"	"1-4"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	251	Not Applicable	Not Applicable
	"Female"	"F"	"1-4 years"	"1-4"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	5	Not Applicable	Not Applicable
	"Female"	"F"	"1-4 years"	"1-4"	"#Alzheimer disease (G30)"	"GR113-052"	0	Not Applicable	Not Applicable
	"Female"	"F"	"1-4 years"	"1-4"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	91	Not Applicable	Not Applicable
	"Female"	"F"	"1-4 years"	"1-4"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	40	Not Applicable	Not Applicable
	"Female"	"F"	"1-4 years"	"1-4"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	66	Not Applicable	Not Applicable
	"Female"	"F"	"1-4 years"	"1-4"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	22	Not Applicable	Not Applicable
	"Female"	"F"	"1-4 years"	"1-4"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	69	Not Applicable	Not Applicable
	"Female"	"F"	"1-4 years"	"1-4"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	10	Not Applicable	Not Applicable
	"Female"	"F"	"1-4 years"	"1-4"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	149	Not Applicable	Not Applicable
	"Female"	"F"	"5-9 years"	"5-9"	"#Septicemia (A40-A41)"	"GR113-010"	30	Not Applicable	Not Applicable
	"Female"	"F"	"5-9 years"	"5-9"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	347	Not Applicable	Not Applicable
	"Female"	"F"	"5-9 years"	"5-9"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	11	Not Applicable	Not Applicable
	"Female"	"F"	"5-9 years"	"5-9"	"#Alzheimer disease (G30)"	"GR113-052"	0	Not Applicable	Not Applicable
	"Female"	"F"	"5-9 years"	"5-9"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	52	Not Applicable	Not Applicable
	"Female"	"F"	"5-9 years"	"5-9"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	25	Not Applicable	Not Applicable
	"Female"	"F"	"5-9 years"	"5-9"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	36	Not Applicable	Not Applicable
	"Female"	"F"	"5-9 years"	"5-9"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	49	Not Applicable	Not Applicable
	"Female"	"F"	"5-9 years"	"5-9"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	20	Not Applicable	Not Applicable
	"Female"	"F"	"5-9 years"	"5-9"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	5	Not Applicable	Not Applicable
	"Female"	"F"	"5-9 years"	"5-9"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	38	Not Applicable	Not Applicable
	"Female"	"F"	"10-14 years"	"10-14"	"#Septicemia (A40-A41)"	"GR113-010"	19	Not Applicable	Not Applicable
	"Female"	"F"	"10-14 years"	"10-14"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	323	Not Applicable	Not Applicable
	"Female"	"F"	"10-14 years"	"10-14"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	15	Not Applicable	Not Applicable
	"Female"	"F"	"10-14 years"	"10-14"	"#Alzheimer disease (G30)"	"GR113-052"	0	Not Applicable	Not Applicable
	"Female"	"F"	"10-14 years"	"10-14"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	92	Not Applicable	Not Applicable
	"Female"	"F"	"10-14 years"	"10-14"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	36	Not Applicable	Not Applicable
	"Female"	"F"	"10-14 years"	"10-14"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	38	Not Applicable	Not Applicable
	"Female"	"F"	"10-14 years"	"10-14"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	47	Not Applicable	Not Applicable
	"Female"	"F"	"10-14 years"	"10-14"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	34	Not Applicable	Not Applicable
	"Female"	"F"	"10-14 years"	"10-14"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	7	Not Applicable	Not Applicable
	"Female"	"F"	"10-14 years"	"10-14"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	51	Not Applicable	Not Applicable
	"Female"	"F"	"15-19 years"	"15-19"	"#Septicemia (A40-A41)"	"GR113-010"	37	Not Applicable	Not Applicable
	"Female"	"F"	"15-19 years"	"15-19"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	358	Not Applicable	Not Applicable
	"Female"	"F"	"15-19 years"	"15-19"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	45	Not Applicable	Not Applicable
	"Female"	"F"	"15-19 years"	"15-19"	"#Alzheimer disease (G30)"	"GR113-052"	0	Not Applicable	Not Applicable
	"Female"	"F"	"15-19 years"	"15-19"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	187	Not Applicable	Not Applicable
	"Female"	"F"	"15-19 years"	"15-19"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	42	Not Applicable	Not Applicable
	"Female"	"F"	"15-19 years"	"15-19"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	47	Not Applicable	Not Applicable
	"Female"	"F"	"15-19 years"	"15-19"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	38	Not Applicable	Not Applicable
	"Female"	"F"	"15-19 years"	"15-19"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	28	Not Applicable	Not Applicable
	"Female"	"F"	"15-19 years"	"15-19"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	11	Not Applicable	Not Applicable
	"Female"	"F"	"15-19 years"	"15-19"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	98	Not Applicable	Not Applicable
